TVM-Name|TVM-ID|EPGDATA-Name|EPGDATA-ID|TVSP-Name|TVSP-ID|VDR-Channel-Namen
National Geographic|190|National Geographic Channel|453|||'NatGeo' 'National Geographic' 'National Geographic (S)'
National Geographic HD|190hd|National Geographic Channel HD|624|Nat Geo HD|N-GHD|'NatGeo HD' 'NatGeo HD (KD)' 'NatGeo HD (S)'
National Geographic Wild|284|Nat Geo Wild|626|NAT GEO WILD|N-GW|'NatGeo Wild' 'Nat Geo Wild HD'
NDR|6|NDR|47|NDR HH|NDR-HH|'NDR FS HH' 'NDR FS HH HD'
NDR|6|NDR|47|NDR MV|NDR-MV|'NDR FS MV' 'NDR FS MV HD'
NDR|6|NDR|47|NDR NI|NDR-NI|'NDR FS NDS' 'NDR FS NDS HD'
NDR|6|NDR|47|NDR-SH|NDR-SH|'NDR FS SH' 'NDR FS SH HD'
Nick|69|Nickelodeon|485|Nickelodeon|NICK|'Nickelodeon' 'Nickelodeon HD' 'NICK/MTV+'
Nick jr.|310|||Nick Jr.|NICKJ|'Nick Jr.' 'Nick Jr. HD'
nicktoons|227|||Nicktoons|NICKT|'Nicktoons'
NTV|47|n-tv|66|n-tv|NTV|'n-tv' 'n-tv HD'
ORF 1|16|ORF eins|54|ORF eins|ORF1|'ORF1' 'ORF1 HD'
ORF 2|17|ORF 2|55|ORF 2|ORF2|'ORF2' 'ORF2 B' 'ORF2 K' 'ORF2 N' 'ORF2 O' 'ORF2 S' 'ORF2 St' 'ORF2 T' 'ORF2 V' 'ORF2 W' 'ORF2E' 'ORF2B HD' 'ORF2K HD' 'ORF2N HD' 'ORF2O HD' 'ORF2S HD' 'ORF2St HD' 'ORF2T HD' 'ORF2V HD' 'ORF2W HD'
ORF 3|447|ORF 3|757|ORF III|ORF3|'ORF III' 'ORF III HD'
ORF Sport+|451|ORF Sport +|759|ORF SPORT +|ORFSP|'ORF Sport+' 'ORF Sport+ HD'
Phoenix|60|Phoenix|194|PHOENIX|PHOEN|'PHOENIX' 'PHOENIX HD'
Planet|98|Planet|195|Planet|PLANE|'PLANET' 'PLANET HD'
Playhouse Disney|171|Disney Junior|460|Disney Junior|DJUN|'Disney Junior' 'Disney Jr. HD' 'Disney Junior HD' 'Disney Junior (S)'
PRO7|11|ProSieben|40|ProSieben|PRO7|'ProSieben' 'ProSieben HD' 'Pro7 HD'
ProSieben Fun|431|ProSieben Fun|765|ProSieben Fun|PRO7F|'ProSieben FUN'
ProSieben Fun|431|ProSieben Fun HD|10099|ProSieben Fun|PRO7F|'Pro7 Fun HD'
ProSieben Maxx|436|ProSieben Maxx|783|ProSieben MAXX|PRO7M|'ProSieben MAXX' 'Pro7 Maxx HD' 'Pro7 MAXX'
PULS 4|314|Puls 4|402|PULS 4|PULS4|'PULS 4 Austria' 'PULS 4 HD Austria'
RBB|57|RBB|52|RBB Berlin|RBB-B|'rbb Berlin' 'rbb Berlin HD'
RBB|57|RBB|52|RBB Brandenburg|RBB-BB|'rbb Brandenburg' 'rbb Brandenburg HD'
Romance TV|265|Romance TV|552|Romance TV|ROM|'Romance TV' 'Romance TV HD'
RTL|3|RTL|38|RTL|RTL|'RTL' 'RTL HD' 'RTL Television' 'RTL Television,RTL'
RTL Crime|214|RTL Crime|527|RTL Crime|RTL-C|'RTL Crime' 'RTL Crime HD' 'RTL Crime (S)'
RTL II|43|RTL II|41|RTL II|RTL2|'RTL II' 'RTL II HD' 'RTL2' 'RTL2 HD' 'RTLII' 'RTLII HD' 'RTL 2' 'RTL 2 HD'
RTL Living|215|RTL Living|528|RTL Living|RTL-L|'RTL Living' 'RTL Living HD'
RTL Nitro|427|RTL NITRO|763|RTL Nitro|RTL-N|'RTLNITRO' 'RTL NITRO' 'RTL NITRO HD' 'RTL Nitro HD' 'RTLNITRO HD' 'NITRO'
RTL Passion|216|Passion|529|RTL Passion|PASS|'RTL Passion' 'Passion HD' 'RTL Passion (S)'
RTL Plus|102|RTL Plus|12033|RTLplus|RTLPL|'RTLplus' 'RTLPlus' 'RTL plus' 'RTL Plus'
SAT1|4|Sat.1|39|Sat.1|SAT1|'SAT.1' 'SAT.1 HD' 'Sat.1 HD'
Sat.1 Emotions|428|Sat.1 Emotions|766|Sat.1 Emotions|SAT1E|'SAT.1 emotions'
Sat.1 Emotions HD|428|Sat.1 Emotions HD|10100|Sat.1 Emotions|SAT1E|'SAT.1 emotions HD'
Sat.1 Gold|430|Sat.1 Gold|774|Sat.1 Gold|SAT1G|'SAT.1 Gold' 'SAT.1 Gold HD'
SCI FI|154|Syfy|472|Syfy|SCIFI|'Syfy' 'Syfy (KD)' 'Syfy HD' 'Syfy (S)'
ServusTV|316|Servus TV|660|ServusTV|SERVU|'ServusTV' 'ServusTV HD' 'ServusTV Deutschland' 'ServusTV HD Deutschland'
Silverline|185|Silverline|451|Silverline|SILVE|'Silverline' 'Silverline Movie Channel'
Sixx|318|Sixx|694|sixx|SIXX|'sixx' 'sixx HD' 'SIXX'
Sky 1|175|||Sky 1|SKY1|'Sky 1' 'SKY 1' 'Sky 1 HD' 'SKY 1 HD'
SKY 3D|432|Sky 3D|701|SKY 3D|SKY3D|'Sky 3D'
SKY Action|274|Sky Action|613|Sky Action|SKY-A|'Sky Action' 'Sky Cinema Action'
SKY Action HD|274hd|Sky Action HD|10058|||'Sky Action HD' 'Sky Cinema Action HD'
